,NAME_CAT,SMILE_CAT,NAME_ANI,SMILE_ANI,T,P,densiy (kg/m3),reference,,,,,,,,,,,,,,,,
1,"1-butyl-2,3-dimethyl-1H-imidazolium ",CCCC[NH+]1C=CN(C1C)C,bis(trifluoromethylsulfonyl)amide,"C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
",278.15,101.325,1437.39,"Tagiuri, A.; Sumon, K. Z.; Henni, A. (2014) Fluid Phase Equilib. 380, 39-47.",,,,,,,,,,,,,,,,
2,"1-butyl-2,3-dimethyl-1H-imidazolium ",CCCC[NH+]1C=CN(C1C)C,bis(trifluoromethylsulfonyl)amide,"C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
",283.15,101.325,1432.61,"Tagiuri, A.; Sumon, K. Z.; Henni, A. (2014) Fluid Phase Equilib. 380, 39-47.",,,,,,,,,,,,,,,,
3,"1-butyl-2,3-dimethyl-1H-imidazolium ",CCCC[NH+]1C=CN(C1C)C,bis(trifluoromethylsulfonyl)amide,"C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
",288.15,101.325,1427.91,"Tagiuri, A.; Sumon, K. Z.; Henni, A. (2014) Fluid Phase Equilib. 380, 39-47.",,,,,,,,,,,,,,,,
4,"1-butyl-2,3-dimethyl-1H-imidazolium ",CCCC[NH+]1C=CN(C1C)C,bis(trifluoromethylsulfonyl)amide,"C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
",293.15,101.325,1423.31,"Tagiuri, A.; Sumon, K. Z.; Henni, A. (2014) Fluid Phase Equilib. 380, 39-47.",,,,,,,,,,,,,,,,
5,"1-butyl-2,3-dimethyl-1H-imidazolium ",CCCC[NH+]1C=CN(C1C)C,bis(trifluoromethylsulfonyl)amide,"C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
",298.15,101.325,1418.69,"Tagiuri, A.; Sumon, K. Z.; Henni, A. (2014) Fluid Phase Equilib. 380, 39-47.",,,,,,,,,,,,,,,,
6,"1-butyl-2,3-dimethyl-1H-imidazolium ",CCCC[NH+]1C=CN(C1C)C,bis(trifluoromethylsulfonyl)amide,"C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
",303.15,101.325,1414.07,"Tagiuri, A.; Sumon, K. Z.; Henni, A. (2014) Fluid Phase Equilib. 380, 39-47.",,,,,,,,,,,,,,,,
7,"1-butyl-2,3-dimethyl-1H-imidazolium ",CCCC[NH+]1C=CN(C1C)C,bis(trifluoromethylsulfonyl)amide,"C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
",308.15,101.325,1409.46,"Tagiuri, A.; Sumon, K. Z.; Henni, A. (2014) Fluid Phase Equilib. 380, 39-47.",,,,,,,,,,,,,,,,
8,"1-butyl-2,3-dimethyl-1H-imidazolium ",CCCC[NH+]1C=CN(C1C)C,bis(trifluoromethylsulfonyl)amide,"C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
",313.15,101.325,1404.86,"Tagiuri, A.; Sumon, K. Z.; Henni, A. (2014) Fluid Phase Equilib. 380, 39-47.",,,,,,,,,,,,,,,,
9,"1-butyl-2,3-dimethyl-1H-imidazolium ",CCCC[NH+]1C=CN(C1C)C,bis(trifluoromethylsulfonyl)amide,"C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
",318.15,101.325,1400.25,"Tagiuri, A.; Sumon, K. Z.; Henni, A. (2014) Fluid Phase Equilib. 380, 39-47.",,,,,,,,,,,,,,,,
10,"1-butyl-2,3-dimethyl-1H-imidazolium ",CCCC[NH+]1C=CN(C1C)C,bis(trifluoromethylsulfonyl)amide,"C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
",323.15,101.325,1395.67,"Tagiuri, A.; Sumon, K. Z.; Henni, A. (2014) Fluid Phase Equilib. 380, 39-47.",,,,,,,,,,,,,,,,
11,"1-butyl-2,3-dimethyl-1H-imidazolium ",CCCC[NH+]1C=CN(C1C)C,bis(trifluoromethylsulfonyl)amide,"C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
",328.15,101.325,1391.1,"Tagiuri, A.; Sumon, K. Z.; Henni, A. (2014) Fluid Phase Equilib. 380, 39-47.",,,,,,,,,,,,,,,,
12,"1-butyl-2,3-dimethyl-1H-imidazolium ",CCCC[NH+]1C=CN(C1C)C,bis(trifluoromethylsulfonyl)amide,"C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
",333.15,101.325,1386.54,"Tagiuri, A.; Sumon, K. Z.; Henni, A. (2014) Fluid Phase Equilib. 380, 39-47.",,,,,,,,,,,,,,,,
13,"1-butyl-2,3-dimethyl-1H-imidazolium ",CCCC[NH+]1C=CN(C1C)C,bis(trifluoromethylsulfonyl)amide,"C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
",338.15,101.325,1381.98,"Tagiuri, A.; Sumon, K. Z.; Henni, A. (2014) Fluid Phase Equilib. 380, 39-47.",,,,,,,,,,,,,,,,
