NAME_CAT,SMILE_CAT,NAME_ANI,SMILE_ANI,melting point(K),Reference
1-ethyl-3-methylimidazolium ,CCN1C=C[N+](=C1)C,"1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,289.1,"Villanueva, M.; Parajo, J. J.; Sanchez, P. B.; Garcia, J.; Salgado, J. (2015) J. Chem. Thermodyn. 91, 127-135."
1-ethyl-3-methylimidazolium ,CCN1C=C[N+](=C1)C,4-methylbenzenesulfonate,[CH2]C1=CC=C(C=C1)S(=O)(=O)[O-],328,"Vila, J.; Fernandez-Castro, B.; Rilo, E.; Carrete, J.; Dominguez-Perez, M.; Rodriguez, J. R.; Garcia, M.; Varela, L. M.; Cabeza, O. (2012) Fluid Phase Equilib. 320, 1-10."
"1,3-dimethylimidazolium ",CN1C=C[N+](=C1)C,bis((trifluoromethyl)sulfonyl)amide ,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,299.1,"Tokuda, H.; Tsuzuki, S.; Susan, M. A. B. H.; Hayamizu, K.; Watanabe, M. (2006) J. Phys. Chem. B 110(39), 19593-19600."
1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,bis(trifluoromethylsulfonyl)imide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,268.5,"Xue, L.; Gurung, E.; Tamas, G.; Koh, Y. P.; Shadeck, M.; Simon, S. L.; Maroncelli, M.; Quitevis, E. L. (2016) J. Chem. Eng. Data 61(3), 1078-1091."
"1-ethyl-2,3-dimethylimidazolium ",CCN1C=C[N+](=C1C)C,bis[(pentafluoroethyl)sulfonyl]imide,C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,298.1 ,"Ngo, H. L.; LeCompte, K.; Hargens, L.; McEwen, A. B. (2000) Thermochim. Acta 357-358, 97-102."
"1-ethyl-2,3-dimethylimidazolium ",CCN1C=C[N+](=C1C)C,bis[(trifluoromethyl)sulfonyl]imide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,298.1,"Fredlake, C. P.; Crosthwaite, J. M.; Hert, D. G.; Aki, S. N. V. K.; Brennecke, J. F. (2004) J. Chem. Eng. Data 49, 954-964."
1-ethyl-3-methylimidazolium ,CCN1C=C[N+](=C1)C,bis[(trifluoromethyl)sulfonyl]imide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,256,"Wachter, P.; Schreiner, C.; Schweiger, H.-G.; Gores, H. J. (2010) J. Chem. Thermodyn. 42(7), 900-903."
"1,2-dimethyl-3-propylimidazolium ",CCCN1C=C[N+](=C1C)C,bis[(trifluoromethyl)sulfonyl]imide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,288.1,"Ngo, H. L.; LeCompte, K.; Hargens, L.; McEwen, A. B. (2000) Thermochim. Acta 357-358, 97-102."
1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,bromide,[Br-],351.1,"Efimova, A.; Hubrig, G.; Schmidt, P. (2013) Thermochim. Acta 573, 162-9."
"1-ethyl-2,3-dimethylimidazolium ",CCN1C=C[N+](=C1C)C,bromide,[Br-],414.1 ,"Ngo, H. L.; LeCompte, K.; Hargens, L.; McEwen, A. B. (2000) Thermochim. Acta 357-358, 97-102."
1-ethyl-3-methylimidazolium,CCN1C=C[N+](=C1)C,bromide,[Br-],345,"Vila, J.; Fernandez-Castro, B.; Rilo, E.; Carrete, J.; Dominguez-Perez, M.; Rodriguez, J. R.; Garcia, M.; Varela, L. M.; Cabeza, O. (2012) Fluid Phase Equilib. 320, 1-10."
"1-butyl-2,3-dimethylimidazolium ",CCCCN1C=C[N+](=C1C)C,chloride,[Cl-],365.9,"Kato, H.; Miki, K.; Mukai, T.; Nishikawa, K.; Koga, Y. (2009) J. Phys. Chem. B 113, 14754-14760."
1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,chloride,[Cl-],340.1,"Wei, Y.; Zhang, Q.-G.; Liu, Y.; Li, X.; Lian, S.; Kang, Z. (2010) J. Chem. Eng. Data 55(7), 2616-2619."
1-ethyl-3-methylimidazolium,CCN1C=C[N+](=C1)C,chloride,[Cl-],361.75,"Kick, M.; Keil, P.; Konig, A. (2013) Fluid Phase Equilib. 338, 172-178."
"1,2-dimethyl-3-propylimidazolium ",CCCN1C=C[N+](=C1C)C,chloride,[Cl-],411.1 ,"Ngo, H. L.; LeCompte, K.; Hargens, L.; McEwen, A. B. (2000) Thermochim. Acta 357-358, 97-102."
"1,3-dimethylimidazolium ",CN1C=C[N+](=C1)C,chloride,[Cl-],399.1,"Dong, L.; Zheng, D. X.; Wei, Z.; Wu, X. H. (2009) Int. J. Thermophys. 30(5), 1480-1490."
1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,dicyanamide,C(#N)[N-]C#N,267,"Calvar, N.; Gomez, E.; Macedo, E. A.; Dominguez, A. (2013) Thermochim. Acta 565, 178-82."
1-ethyl-3-methylimidazolium,CCN1C=C[N+](=C1)C,dicyanamide,C(#N)[N-]C#N,267.7,"Wachter, P.; Schreiner, C.; Schweiger, H.-G.; Gores, H. J. (2010) J. Chem. Thermodyn. 42(7), 900-903."
"1-butyl-2,3-dimethylimidazolium ",CCCCN1C=C[N+](=C1C)C,hexafluorophosphate,F[P-](F)(F)(F)(F)F,311.1,"Hu, H.-C.; Soriano, A. N.; Leron, R. B.; Li, M.-H. (2011) Thermochim. Acta 519, 44-9."
1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,hexafluorophosphate,F[P-](F)(F)(F)(F)F,283.1,"Tokuda, H.; Tsuzuki, S.; Susan, M. A. B. H.; Hayamizu, K.; Watanabe, M. (2006) J. Phys. Chem. B 110(39), 19593-19600."
1-ethyl-3-methylimidazolium,CCN1C=C[N+](=C1)C,hexafluorophosphate,F[P-](F)(F)(F)(F)F,333,"Vila, J.; Fernandez-Castro, B.; Rilo, E.; Carrete, J.; Dominguez-Perez, M.; Rodriguez, J. R.; Garcia, M.; Varela, L. M.; Cabeza, O. (2012) Fluid Phase Equilib. 320, 1-10."
"1,2-dimethyl-3-propylimidazolium ",CCCN1C=C[N+](=C1C)C,hexafluorophosphate,F[P-](F)(F)(F)(F)F,351.1 ,"Ngo, H. L.; LeCompte, K.; Hargens, L.; McEwen, A. B. (2000) Thermochim. Acta 357-358, 97-102."
1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,hydrogen sulfate,OS(=O)(=O)[O-],301.9,"Grishina, E. P.; Ramenskaya, L. M.; Gruzdev, M. S.; Kraeva, O. V. (2013) J. Mol. Liq. 177, 267-272."
1-ethyl-3-methylimidazolium,CCN1C=C[N+](=C1)C,iodide,[I-],350,"Vila, J.; Fernandez-Castro, B.; Rilo, E.; Carrete, J.; Dominguez-Perez, M.; Rodriguez, J. R.; Garcia, M.; Varela, L. M.; Cabeza, O. (2012) Fluid Phase Equilib. 320, 1-10."
"1,3-dimethylimidazolium ",CN1C=C[N+](=C1)C,methylsulfate,COS(=O)(=O)[O-],308.9 ,"Domanska, U.; Morawski, P. (2007) Green Chem. 9, 361-368."
1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,methylsulfate ,COS(=O)(=O)[O-],269.1,"Fernandez, A.; Torrecilla, J. S.; Rodriquez, F. (2007) J. Chem. Eng. Data 52, 1979-1983."
1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,N-cyclohexylsulfamate,C1CCC(CC1)NS(=O)(=O)[O-],345.55,"Pernak, J.; Wasinski, K.; Praczyk, T.; Nawrot, J.; Cieniecka-Roslonkiewicz, A.; Walkiewicz, F.; Materna, K. (2012) Sci. China Chem. 55(8), 1532-1541."
1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,octyl sulfate,CCCCCCCCOS(=O)(=O)[O-],307.6 ,"Wasserscheid, P.; van Hal, R.; Bosmann, A. (2002) Green Chem. 4, 400-404."
"1-butyl-2,3-dimethylimidazolium ",CCCCN1C=C[N+](=C1C)C,tetrafluoroborate,[B-](F)(F)(F)F,305.1,"Hu, H.-C.; Soriano, A. N.; Leron, R. B.; Li, M.-H. (2011) Thermochim. Acta 519, 44-9."
1-ethyl-3-methylimidazolium,CCN1C=C[N+](=C1)C,tetrafluoroborate,[B-](F)(F)(F)F,288,"Vila, J.; Fernandez-Castro, B.; Rilo, E.; Carrete, J.; Dominguez-Perez, M.; Rodriguez, J. R.; Garcia, M.; Varela, L. M.; Cabeza, O. (2012) Fluid Phase Equilib. 320, 1-10."
1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,trifluoromethanesulfonate,C(F)(F)(F)S(=O)(=O)[O-],285,"Calvar, N.; Gomez, E.; Macedo, E. A.; Dominguez, A. (2013) Thermochim. Acta 565, 178-82."
1-butyl-4-methylpyridinium ,CCCC[N+]1=CC=C(C=C1)C,trifluoromethanesulfonate,C(F)(F)(F)S(=O)(=O)[O-],311.1,"Papaiconomou, N.; Yakelis, N.; Salminen, J.; Bergman, R.; Prausnitz, J. M. (2006) J. Chem. Eng. Data 51(4), 1389-1393."
1-ethyl-3-methylimidazolium ,CCN1C=C[N+](=C1)C,trifluoromethanesulfonate,C(F)(F)(F)S(=O)(=O)[O-],259.1,"Villanueva, M.; Parajo, J. J.; Sanchez, P. B.; Garcia, J.; Salgado, J. (2015) J. Chem. Thermodyn. 91, 12"
